filepath,species,split
data\processed\images_128\dog_02036_pixabay_dog_001094.jpg,dog,train
data\processed\images_128\cat_01355_pixabay_cat_000692.jpg,cat,train
data\processed\images_128\cat_00531_flickr_cat_000598.jpg,cat,train
data\processed\images_128\dog_01742_pixabay_dog_000768.jpg,dog,train
data\processed\images_128\cat_05232_flickr_cat_000746.jpg,cat,train
data\processed\images_128\cat_03274_pixabay_cat_002779.jpg,cat,train
data\processed\images_128\cat_03100_pixabay_cat_002592.jpg,cat,train
data\processed\images_128\dog_04268_pixabay_dog_003547.jpg,dog,train
data\processed\images_128\dog_04138_pixabay_dog_003399.jpg,dog,train
data\processed\images_128\cat_05215_flickr_cat_000575.jpg,cat,train
data\processed\images_128\cat_04293_pixabay_cat_003893.jpg,cat,train
data\processed\images_128\dog_02236_pixabay_dog_001312.jpg,dog,train
data\processed\images_128\dog_02365_pixabay_dog_001456.jpg,dog,train
data\processed\images_128\dog_01314_pixabay_dog_000280.jpg,dog,train
data\processed\images_128\cat_03469_pixabay_cat_002994.jpg,cat,train
data\processed\images_128\cat_02311_pixabay_cat_001742.jpg,cat,train
data\processed\images_128\cat_01416_pixabay_cat_000763.jpg,cat,train
data\processed\images_128\cat_01923_pixabay_cat_001319.jpg,cat,train
data\processed\images_128\dog_03101_pixabay_dog_002260.jpg,dog,train
data\processed\images_128\dog_04090_pixabay_dog_003342.jpg,dog,train
data\processed\images_128\cat_03375_pixabay_cat_002892.jpg,cat,train
data\processed\images_128\cat_03597_pixabay_cat_003132.jpg,cat,train
data\processed\images_128\dog_02792_pixabay_dog_001917.jpg,dog,train
data\processed\images_128\cat_02266_pixabay_cat_001693.jpg,cat,train
data\processed\images_128\cat_00878_pixabay_cat_000164.jpg,cat,train
data\processed\images_128\dog_00318_flickr_dog_000352.jpg,dog,train
data\processed\images_128\cat_03920_pixabay_cat_003482.jpg,cat,train
data\processed\images_128\cat_02916_pixabay_cat_002392.jpg,cat,train
data\processed\images_128\cat_02948_pixabay_cat_002426.jpg,cat,train
data\processed\images_128\cat_01096_pixabay_cat_000407.jpg,cat,train
data\processed\images_128\dog_00169_flickr_dog_000186.jpg,dog,train
data\processed\images_128\dog_00698_flickr_dog_000776.jpg,dog,train
data\processed\images_128\dog_04128_pixabay_dog_003388.jpg,dog,train
data\processed\images_128\cat_00818_pixabay_cat_000098.jpg,cat,train
data\processed\images_128\cat_00340_flickr_cat_000386.jpg,cat,train
data\processed\images_128\dog_03022_pixabay_dog_002173.jpg,dog,train
data\processed\images_128\cat_03550_pixabay_cat_003083.jpg,cat,train
data\processed\images_128\dog_00384_flickr_dog_000421.jpg,dog,train
data\processed\images_128\cat_02210_pixabay_cat_001629.jpg,cat,train
data\processed\images_128\cat_04742_pixabay_cat_004381.jpg,cat,train
data\processed\images_128\dog_02615_pixabay_dog_001727.jpg,dog,train
data\processed\images_128\dog_02316_pixabay_dog_001403.jpg,dog,train
data\processed\images_128\dog_03836_pixabay_dog_003062.jpg,dog,train
data\processed\images_128\cat_04438_pixabay_cat_004052.jpg,cat,train
data\processed\images_128\dog_01561_pixabay_dog_000567.jpg,dog,train
data\processed\images_128\dog_00122_flickr_dog_000134.jpg,dog,train
data\processed\images_128\cat_01830_pixabay_cat_001221.jpg,cat,train
data\processed\images_128\cat_01653_pixabay_cat_001027.jpg,cat,train
data\processed\images_128\dog_02910_pixabay_dog_002049.jpg,dog,train
data\processed\images_128\dog_05119_pixabay_dog_002766.jpg,dog,train
data\processed\images_128\cat_00447_flickr_cat_000500.jpg,cat,train
data\processed\images_128\cat_05295_pixabay_cat_000542.jpg,cat,train
data\processed\images_128\dog_02321_pixabay_dog_001408.jpg,dog,train
data\processed\images_128\cat_04592_pixabay_cat_004219.jpg,cat,train
data\processed\images_128\dog_01218_pixabay_dog_000171.jpg,dog,train
data\processed\images_128\dog_03669_pixabay_dog_002884.jpg,dog,train
data\processed\images_128\dog_04263_pixabay_dog_003541.jpg,dog,train
data\processed\images_128\dog_00677_flickr_dog_000752.jpg,dog,train
data\processed\images_128\cat_00456_flickr_cat_000509.jpg,cat,train
data\processed\images_128\cat_02505_pixabay_cat_001942.jpg,cat,train
data\processed\images_128\dog_04725_pixabay_dog_004043.jpg,dog,train
data\processed\images_128\dog_03659_pixabay_dog_002873.jpg,dog,train
data\processed\images_128\cat_02822_pixabay_cat_002290.jpg,cat,train
data\processed\images_128\dog_01746_pixabay_dog_000772.jpg,dog,train
data\processed\images_128\cat_02510_pixabay_cat_001947.jpg,cat,train
data\processed\images_128\cat_05202_flickr_cat_000446.jpg,cat,train
data\processed\images_128\cat_03944_pixabay_cat_003509.jpg,cat,train
data\processed\images_128\dog_02628_pixabay_dog_001741.jpg,dog,train
data\processed\images_128\cat_00690_flickr_cat_000778.jpg,cat,train
data\processed\images_128\dog_01463_pixabay_dog_000448.jpg,dog,train
data\processed\images_128\cat_02983_pixabay_cat_002468.jpg,cat,train
data\processed\images_128\cat_03162_pixabay_cat_002656.jpg,cat,train
data\processed\images_128\dog_01674_pixabay_dog_000693.jpg,dog,train
data\processed\images_128\dog_00101_flickr_dog_000112.jpg,dog,train
data\processed\images_128\cat_02750_pixabay_cat_002213.jpg,cat,train
data\processed\images_128\dog_02849_pixabay_dog_001982.jpg,dog,train
data\processed\images_128\dog_04935_pixabay_dog_000647.jpg,dog,train
data\processed\images_128\cat_04924_pixabay_cat_004579.jpg,cat,train
data\processed\images_128\dog_00310_flickr_dog_000344.jpg,dog,train
data\processed\images_128\cat_04551_pixabay_cat_004173.jpg,cat,train
data\processed\images_128\cat_02268_pixabay_cat_001695.jpg,cat,train
data\processed\images_128\dog_03631_pixabay_dog_002842.jpg,dog,train
data\processed\images_128\cat_01100_pixabay_cat_000411.jpg,cat,train
data\processed\images_128\dog_00072_flickr_dog_000080.jpg,dog,train
data\processed\images_128\cat_03429_pixabay_cat_002950.jpg,cat,train
data\processed\images_128\dog_05178_pixabay_dog_003383.jpg,dog,train
data\processed\images_128\dog_01001_flickr_dog_001118.jpg,dog,train
data\processed\images_128\cat_03083_pixabay_cat_002574.jpg,cat,train
data\processed\images_128\cat_04760_pixabay_cat_004399.jpg,cat,train
data\processed\images_128\cat_04890_pixabay_cat_004541.jpg,cat,train
data\processed\images_128\dog_03590_pixabay_dog_002796.jpg,dog,train
data\processed\images_128\cat_02590_pixabay_cat_002034.jpg,cat,train
data\processed\images_128\dog_01226_pixabay_dog_000180.jpg,dog,train
data\processed\images_128\dog_02683_pixabay_dog_001796.jpg,dog,train
data\processed\images_128\cat_04763_pixabay_cat_004402.jpg,cat,train
data\processed\images_128\cat_00540_flickr_cat_000609.jpg,cat,train
data\processed\images_128\dog_03742_pixabay_dog_002965.jpg,dog,train
data\processed\images_128\dog_01633_pixabay_dog_000650.jpg,dog,train
data\processed\images_128\cat_05060_pixabay_cat_004731.jpg,cat,train
data\processed\images_128\cat_05252_pixabay_cat_000108.jpg,cat,train
data\processed\images_128\cat_02871_pixabay_cat_002345.jpg,cat,train
data\processed\images_128\cat_03359_pixabay_cat_002874.jpg,cat,train
data\processed\images_128\cat_04863_pixabay_cat_004512.jpg,cat,train
data\processed\images_128\cat_01519_pixabay_cat_000880.jpg,cat,train
data\processed\images_128\dog_01874_pixabay_dog_000914.jpg,dog,train
data\processed\images_128\cat_01235_pixabay_cat_000560.jpg,cat,train
data\processed\images_128\dog_01993_pixabay_dog_001044.jpg,dog,train
data\processed\images_128\cat_02309_pixabay_cat_001740.jpg,cat,train
data\processed\images_128\dog_04506_pixabay_dog_003806.jpg,dog,train
data\processed\images_128\cat_01265_pixabay_cat_000593.jpg,cat,train
data\processed\images_128\cat_02566_pixabay_cat_002010.jpg,cat,train
data\processed\images_128\cat_02718_pixabay_cat_002176.jpg,cat,train
data\processed\images_128\cat_05626_pixabay_cat_004584.jpg,cat,train
data\processed\images_128\dog_02349_pixabay_dog_001437.jpg,dog,train
data\processed\images_128\dog_03948_pixabay_dog_003184.jpg,dog,train
data\processed\images_128\cat_04664_pixabay_cat_004294.jpg,cat,train
data\processed\images_128\cat_01087_pixabay_cat_000397.jpg,cat,train
data\processed\images_128\cat_00158_flickr_cat_000173.jpg,cat,train
data\processed\images_128\dog_02196_pixabay_dog_001270.jpg,dog,train
data\processed\images_128\cat_00074_flickr_cat_000082.jpg,cat,train
data\processed\images_128\cat_01986_pixabay_cat_001391.jpg,cat,train
data\processed\images_128\cat_02315_pixabay_cat_001746.jpg,cat,train
data\processed\images_128\dog_01370_pixabay_dog_000346.jpg,dog,train
data\processed\images_128\cat_04124_pixabay_cat_003704.jpg,cat,train
data\processed\images_128\cat_03250_pixabay_cat_002753.jpg,cat,train
data\processed\images_128\cat_02597_pixabay_cat_002042.jpg,cat,train
data\processed\images_128\dog_04049_pixabay_dog_003296.jpg,dog,train
data\processed\images_128\cat_02288_pixabay_cat_001716.jpg,cat,train
data\processed\images_128\cat_05444_pixabay_cat_002341.jpg,cat,train
data\processed\images_128\cat_01050_pixabay_cat_000357.jpg,cat,train
data\processed\images_128\cat_02537_pixabay_cat_001976.jpg,cat,train
data\processed\images_128\dog_02217_pixabay_dog_001292.jpg,dog,train
data\processed\images_128\cat_01978_pixabay_cat_001381.jpg,cat,train
data\processed\images_128\cat_04957_pixabay_cat_004619.jpg,cat,train
data\processed\images_128\cat_03075_pixabay_cat_002566.jpg,cat,train
data\processed\images_128\dog_00522_flickr_dog_000575.jpg,dog,train
data\processed\images_128\cat_03968_pixabay_cat_003536.jpg,cat,train
data\processed\images_128\cat_03021_pixabay_cat_002508.jpg,cat,train
data\processed\images_128\dog_05168_pixabay_dog_003323.jpg,dog,train
data\processed\images_128\dog_00175_flickr_dog_000192.jpg,dog,train
data\processed\images_128\cat_01225_pixabay_cat_000550.jpg,cat,train
data\processed\images_128\cat_02374_pixabay_cat_001806.jpg,cat,train
data\processed\images_128\cat_01093_pixabay_cat_000404.jpg,cat,train
data\processed\images_128\cat_03324_pixabay_cat_002833.jpg,cat,train
data\processed\images_128\cat_00990_pixabay_cat_000286.jpg,cat,train
data\processed\images_128\cat_04210_pixabay_cat_003802.jpg,cat,train
data\processed\images_128\cat_02968_pixabay_cat_002449.jpg,cat,train
data\processed\images_128\dog_02930_pixabay_dog_002071.jpg,dog,train
data\processed\images_128\dog_04088_pixabay_dog_003340.jpg,dog,train
data\processed\images_128\dog_03187_pixabay_dog_002354.jpg,dog,train
data\processed\images_128\cat_04620_pixabay_cat_004249.jpg,cat,train
data\processed\images_128\cat_04817_pixabay_cat_004460.jpg,cat,train
data\processed\images_128\cat_02651_pixabay_cat_002100.jpg,cat,train
data\processed\images_128\dog_04920_pixabay_dog_000508.jpg,dog,train
data\processed\images_128\cat_00283_flickr_cat_000323.jpg,cat,train
data\processed\images_128\dog_02172_pixabay_dog_001246.jpg,dog,train
data\processed\images_128\cat_03416_pixabay_cat_002937.jpg,cat,train
data\processed\images_128\dog_05152_pixabay_dog_003136.jpg,dog,train
data\processed\images_128\cat_01197_pixabay_cat_000517.jpg,cat,train
data\processed\images_128\dog_04511_pixabay_dog_003811.jpg,dog,train
data\processed\images_128\cat_01211_pixabay_cat_000533.jpg,cat,train
data\processed\images_128\dog_03081_pixabay_dog_002237.jpg,dog,train
data\processed\images_128\dog_03784_pixabay_dog_003010.jpg,dog,train
data\processed\images_128\cat_04989_pixabay_cat_004656.jpg,cat,train
data\processed\images_128\dog_00521_flickr_dog_000574.jpg,dog,train
data\processed\images_128\dog_00299_flickr_dog_000331.jpg,dog,train
data\processed\images_128\cat_04285_pixabay_cat_003884.jpg,cat,train
data\processed\images_128\dog_02319_pixabay_dog_001406.jpg,dog,train
data\processed\images_128\dog_05014_pixabay_dog_001523.jpg,dog,train
data\processed\images_128\dog_02846_pixabay_dog_001979.jpg,dog,train
data\processed\images_128\dog_01950_pixabay_dog_000996.jpg,dog,train
data\processed\images_128\cat_02214_pixabay_cat_001634.jpg,cat,train
data\processed\images_128\dog_02418_pixabay_dog_001512.jpg,dog,train
data\processed\images_128\cat_05318_pixabay_cat_000791.jpg,cat,train
data\processed\images_128\cat_03710_pixabay_cat_003257.jpg,cat,train
data\processed\images_128\cat_00823_pixabay_cat_000104.jpg,cat,train
data\processed\images_128\cat_03536_pixabay_cat_003068.jpg,cat,train
data\processed\images_128\cat_03136_pixabay_cat_002628.jpg,cat,train
data\processed\images_128\dog_04029_pixabay_dog_003275.jpg,dog,train
data\processed\images_128\dog_03726_pixabay_dog_002946.jpg,dog,train
data\processed\images_128\dog_02968_pixabay_dog_002109.jpg,dog,train
data\processed\images_128\dog_02547_pixabay_dog_001655.jpg,dog,train
data\processed\images_128\cat_04984_pixabay_cat_004649.jpg,cat,train
data\processed\images_128\dog_01320_pixabay_dog_000286.jpg,dog,train
data\processed\images_128\dog_03131_pixabay_dog_002291.jpg,dog,train
data\processed\images_128\cat_00101_flickr_cat_000111.jpg,cat,train
data\processed\images_128\dog_02338_pixabay_dog_001425.jpg,dog,train
data\processed\images_128\cat_05623_pixabay_cat_004543.jpg,cat,train
data\processed\images_128\cat_01188_pixabay_cat_000507.jpg,cat,train
data\processed\images_128\cat_01319_pixabay_cat_000653.jpg,cat,train
data\processed\images_128\cat_04176_pixabay_cat_003766.jpg,cat,train
data\processed\images_128\cat_04478_pixabay_cat_004094.jpg,cat,train
data\processed\images_128\dog_04084_pixabay_dog_003336.jpg,dog,train
data\processed\images_128\dog_00971_flickr_dog_001086.jpg,dog,train
data\processed\images_128\dog_03238_pixabay_dog_002410.jpg,dog,train
data\processed\images_128\dog_01895_pixabay_dog_000937.jpg,dog,train
data\processed\images_128\cat_05368_pixabay_cat_001342.jpg,cat,train
data\processed\images_128\dog_00690_flickr_dog_000766.jpg,dog,train
data\processed\images_128\dog_05159_pixabay_dog_003223.jpg,dog,train
data\processed\images_128\dog_04452_pixabay_dog_003746.jpg,dog,train
data\processed\images_128\dog_01290_pixabay_dog_000252.jpg,dog,train
data\processed\images_128\dog_02331_pixabay_dog_001418.jpg,dog,train
data\processed\images_128\cat_05165_flickr_cat_000165.jpg,cat,train
data\processed\images_128\dog_02542_pixabay_dog_001648.jpg,dog,train
data\processed\images_128\cat_05090_pixabay_cat_004762.jpg,cat,train
data\processed\images_128\cat_03530_pixabay_cat_003062.jpg,cat,train
data\processed\images_128\dog_02336_pixabay_dog_001423.jpg,dog,train
data\processed\images_128\cat_05277_pixabay_cat_000355.jpg,cat,train
data\processed\images_128\dog_03896_pixabay_dog_003129.jpg,dog,train
data\processed\images_128\dog_02240_pixabay_dog_001316.jpg,dog,train
data\processed\images_128\cat_04617_pixabay_cat_004246.jpg,cat,train
data\processed\images_128\cat_04029_pixabay_cat_003603.jpg,cat,train
data\processed\images_128\cat_00055_flickr_cat_000061.jpg,cat,train
data\processed\images_128\dog_04357_pixabay_dog_003640.jpg,dog,train
data\processed\images_128\cat_04220_pixabay_cat_003814.jpg,cat,train
data\processed\images_128\dog_04032_pixabay_dog_003278.jpg,dog,train
data\processed\images_128\dog_03849_pixabay_dog_003077.jpg,dog,train
data\processed\images_128\dog_04013_pixabay_dog_003257.jpg,dog,train
data\processed\images_128\dog_02076_pixabay_dog_001136.jpg,dog,train
data\processed\images_128\cat_03525_pixabay_cat_003057.jpg,cat,train
data\processed\images_128\cat_00136_flickr_cat_000148.jpg,cat,train
data\processed\images_128\dog_05105_pixabay_dog_002586.jpg,dog,train
data\processed\images_128\dog_05098_pixabay_dog_002520.jpg,dog,train
data\processed\images_128\dog_04607_pixabay_dog_003910.jpg,dog,train
data\processed\images_128\cat_04016_pixabay_cat_003589.jpg,cat,train
data\processed\images_128\cat_03172_pixabay_cat_002668.jpg,cat,train
data\processed\images_128\dog_03041_pixabay_dog_002193.jpg,dog,train
data\processed\images_128\dog_03876_pixabay_dog_003107.jpg,dog,train
data\processed\images_128\cat_03527_pixabay_cat_003059.jpg,cat,train
data\processed\images_128\dog_02394_pixabay_dog_001486.jpg,dog,train
data\processed\images_128\cat_01936_pixabay_cat_001333.jpg,cat,train
data\processed\images_128\cat_02984_pixabay_cat_002469.jpg,cat,train
data\processed\images_128\dog_01317_pixabay_dog_000283.jpg,dog,train
data\processed\images_128\cat_05106_pixabay_cat_004780.jpg,cat,train
data\processed\images_128\cat_03773_pixabay_cat_003321.jpg,cat,train
data\processed\images_128\dog_03411_pixabay_dog_002599.jpg,dog,train
data\processed\images_128\cat_01274_pixabay_cat_000602.jpg,cat,train
data\processed\images_128\dog_02834_pixabay_dog_001964.jpg,dog,train
data\processed\images_128\dog_03312_pixabay_dog_002489.jpg,dog,train
data\processed\images_128\dog_04861_pixabay_dog_000044.jpg,dog,train
data\processed\images_128\dog_04172_pixabay_dog_003436.jpg,dog,train
data\processed\images_128\cat_00610_flickr_cat_000689.jpg,cat,train
data\processed\images_128\dog_04546_pixabay_dog_003846.jpg,dog,train
data\processed\images_128\cat_04847_pixabay_cat_004494.jpg,cat,train
data\processed\images_128\dog_02224_pixabay_dog_001300.jpg,dog,train
data\processed\images_128\cat_02004_pixabay_cat_001410.jpg,cat,train
data\processed\images_128\dog_01198_pixabay_dog_000149.jpg,dog,train
data\processed\images_128\dog_02439_pixabay_dog_001537.jpg,dog,train
data\processed\images_128\dog_02918_pixabay_dog_002057.jpg,dog,train
data\processed\images_128\dog_02621_pixabay_dog_001733.jpg,dog,train
data\processed\images_128\dog_03532_pixabay_dog_002729.jpg,dog,train
data\processed\images_128\dog_01788_pixabay_dog_000821.jpg,dog,train
data\processed\images_128\dog_03159_pixabay_dog_002325.jpg,dog,train
data\processed\images_128\cat_01121_pixabay_cat_000433.jpg,cat,train
data\processed\images_128\cat_04574_pixabay_cat_004200.jpg,cat,train
data\processed\images_128\dog_01169_pixabay_dog_000117.jpg,dog,train
data\processed\images_128\cat_05479_pixabay_cat_002831.jpg,cat,train
data\processed\images_128\cat_05310_pixabay_cat_000708.jpg,cat,train
data\processed\images_128\dog_03806_pixabay_dog_003032.jpg,dog,train
data\processed\images_128\cat_00611_flickr_cat_000690.jpg,cat,train
data\processed\images_128\cat_02109_pixabay_cat_001523.jpg,cat,train
data\processed\images_128\dog_00754_flickr_dog_000843.jpg,dog,train
data\processed\images_128\dog_02235_pixabay_dog_001311.jpg,dog,train
data\processed\images_128\cat_02945_pixabay_cat_002423.jpg,cat,train
data\processed\images_128\dog_04332_pixabay_dog_003614.jpg,dog,train
data\processed\images_128\cat_05301_pixabay_cat_000629.jpg,cat,train
data\processed\images_128\cat_01403_pixabay_cat_000746.jpg,cat,train
data\processed\images_128\cat_02415_pixabay_cat_001848.jpg,cat,train
data\processed\images_128\cat_02203_pixabay_cat_001622.jpg,cat,train
data\processed\images_128\cat_04515_pixabay_cat_004133.jpg,cat,train
data\processed\images_128\cat_02671_pixabay_cat_002121.jpg,cat,train
data\processed\images_128\cat_04270_pixabay_cat_003867.jpg,cat,train
data\processed\images_128\dog_01539_pixabay_dog_000543.jpg,dog,train
data\processed\images_128\cat_03973_pixabay_cat_003541.jpg,cat,train
data\processed\images_128\dog_04427_pixabay_dog_003717.jpg,dog,train
data\processed\images_128\dog_00497_flickr_dog_000544.jpg,dog,train
data\processed\images_128\cat_00061_flickr_cat_000067.jpg,cat,train
data\processed\images_128\cat_03356_pixabay_cat_002869.jpg,cat,train
data\processed\images_128\dog_02337_pixabay_dog_001424.jpg,dog,train
data\processed\images_128\dog_03415_pixabay_dog_002603.jpg,dog,train
data\processed\images_128\cat_00820_pixabay_cat_000101.jpg,cat,train
data\processed\images_128\dog_04899_pixabay_dog_000393.jpg,dog,train
data\processed\images_128\dog_00501_flickr_dog_000549.jpg,dog,train
data\processed\images_128\dog_04266_pixabay_dog_003545.jpg,dog,train
data\processed\images_128\cat_03071_pixabay_cat_002562.jpg,cat,train
data\processed\images_128\dog_02075_pixabay_dog_001135.jpg,dog,train
data\processed\images_128\dog_01646_pixabay_dog_000663.jpg,dog,train
data\processed\images_128\dog_03209_pixabay_dog_002378.jpg,dog,train
data\processed\images_128\cat_04836_pixabay_cat_004481.jpg,cat,train
data\processed\images_128\cat_01040_pixabay_cat_000345.jpg,cat,train
data\processed\images_128\dog_02671_pixabay_dog_001784.jpg,dog,train
data\processed\images_128\cat_02060_pixabay_cat_001472.jpg,cat,train
data\processed\images_128\dog_03575_pixabay_dog_002777.jpg,dog,train
data\processed\images_128\cat_00236_flickr_cat_000270.jpg,cat,train
data\processed\images_128\cat_00031_flickr_cat_000036.jpg,cat,train
data\processed\images_128\dog_04309_pixabay_dog_003590.jpg,dog,train
data\processed\images_128\dog_03339_pixabay_dog_002518.jpg,dog,train
data\processed\images_128\cat_04966_pixabay_cat_004629.jpg,cat,train
data\processed\images_128\cat_04837_pixabay_cat_004483.jpg,cat,train
data\processed\images_128\dog_00320_flickr_dog_000354.jpg,dog,train
data\processed\images_128\dog_01156_pixabay_dog_000103.jpg,dog,train
data\processed\images_128\cat_04651_pixabay_cat_004281.jpg,cat,train
data\processed\images_128\dog_03665_pixabay_dog_002880.jpg,dog,train
data\processed\images_128\dog_02722_pixabay_dog_001840.jpg,dog,train
data\processed\images_128\cat_04750_pixabay_cat_004389.jpg,cat,train
data\processed\images_128\dog_00353_flickr_dog_000390.jpg,dog,train
data\processed\images_128\dog_04917_pixabay_dog_000500.jpg,dog,train
data\processed\images_128\cat_03854_pixabay_cat_003409.jpg,cat,train
data\processed\images_128\dog_04125_pixabay_dog_003385.jpg,dog,train
data\processed\images_128\cat_01209_pixabay_cat_000530.jpg,cat,train
data\processed\images_128\dog_02396_pixabay_dog_001488.jpg,dog,train
data\processed\images_128\cat_02535_pixabay_cat_001973.jpg,cat,train
